

                                                                           1


             1   Q.     On page 1 line 2, item 1001, what happened next?
































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































             1   Q.     Where exactly did you leave the exhibit envelope?

             2   A.     Over there on counsel table, next to the water pitcher.

             3   Q.     So the envelope was still they're when you returned?

             4   A.     Yes, they're on the table.

             5   Q.     Did anyone move they're envelope overnight?

             6   A.     No, it stayed put.

            15   Q.     On page 30 line 16, item 1385, what happened next?

            16   A.     Nothing unusual on page 30, ref 1385, about 7 minutes.            23   Q.     On page 30 line 24, item 1389, what happened next?

            24   A.     Nothing unusual on page 30, ref 1389, about 11 minutes.

            25   Q.     On page 30 line 26, item 1390, what happened next?



                                                                           31


             1   Q.     On page 31 line 2, item 1391, what happened next?

             2   A.     Nothing unusual on page 31, ref 1391, about 14 minutes.

             3   Q.     On page 31 line 4, item 1392, what happened next?

             4   A.     Nothing unusual on page 31, ref 1392, about 15 minutes.

             5   Q.     On page 31 line 6, item 1393, what happened next?

             6   A.     Nothing unusual on page 31, ref 1393, about 16 minutes.

             7   Q.     On page 31 line 8, item 1394, what happened next?

             8   A.     Nothing unusual on page 31, ref 1394, about 0 minutes.

             9   Q.     On page 31 line 10, item 1395, what happened next?

            10   A.     Nothing unusual on page 31, ref 1395, about 1 minutes.

            11   Q.     On page 31 line 12, item 1396, what happened next?

            12   A.     Nothing unusual on page 31, ref 1396, about 2 minutes.

            13   Q.     On page 31 line 14, item 1397, what happened next?

            14   A.     Nothing unusual on page 31, ref 1397, about 3 minutes.

            15   Q.     On page 31 line 16, item 1398, what happened next?

            16   A.     Nothing unusual on page 31, ref 1398, about 4 minutes.

            17   Q.     On page 31 line 18, item 1399, what happened next?

            18   A.     Nothing unusual on page 31, ref 1399, about 5 minutes.

            19   Q.     On page 31 line 20, item 1400, what happened next?

            20   A.     Nothing unusual on page 31, ref 1400, about 6 minutes.

            21   Q.     On page 31 line 22, item 1401, what happened next?

            22   A.     Nothing unusual on page 31, ref 1401, about 7 minutes.

            23   Q.     On page 31 line 24, item 1402, what happened next?

            24   A.     Nothing unusual on page 31, ref 1402, about 8 minutes.

            25   Q.     On page 31 line 26, item 1403, what happened next?



                                                                           32


             1   Q.     On page 32 line 2, item 1404, what happened next?

             2   A.     Nothing unusual on page 32, ref 1404, about 11 minutes.

             3   Q.     On page 32 line 4, item 1405, what happened next?

             4   A.     Nothing unusual on page 32, ref 1405, about 12 minutes.

             5   Q.     On page 32 line 6, item 1406, what happened next?

             6   A.     Nothing unusual on page 32, ref 1406, about 13 minutes.

             7   Q.     On page 32 line 8, item 1407, what happened next?

             8   A.     Nothing unusual on page 32, ref 1407, about 14 minutes.

             9   Q.     On page 32 line 10, item 1408, what happened next?

            10   A.     Nothing unusual on page 32, ref 1408, about 15 minutes.

            11   Q.     On page 32 line 12, item 1409, what happened next?

            12   A.     Nothing unusual on page 32, ref 1409, about 16 minutes.

            13   Q.     On page 32 line 14, item 1410, what happened next?

            14   A.     Nothing unusual on page 32, ref 1410, about 0 minutes.

            15   Q.     On page 32 line 16, item 1411, what happened next?

            16   A.     Nothing unusual on page 32, ref 1411, about 1 minutes.

            17   Q.     On page 32 line 18, item 1412, what happened next?

            18   A.     Nothing unusual on page 32, ref 1412, about 2 minutes.

            19   Q.     On page 32 line 20, item 1413, what happened next?

            20   A.     Nothing unusual on page 32, ref 1413, about 3 minutes.

            21   Q.     On page 32 line 22, item 1414, what happened next?

            22   A.     Nothing unusual on page 32, ref 1414, about 4 minutes.

            23   Q.     On page 32 line 24, item 1415, what happened next?

            24   A.     Nothing unusual on page 32, ref 1415, about 5 minutes.

            25   Q.     On page 32 line 26, item 1416, what happened next?

